"product_id","product_code","name","category","hsn_code","selling_rate","estimated_cost","unit","gst_rate","default_material","default_vendor","is_custom","active","created_at","description"
"PROD-03","PROD-03","3mm Acrylic 3D LED Glow Sign Board","Signage & LED","9405","850","480","Sq.Ft","18","3mm Cast Acrylic Sheet","VEN-01","NO","Active","2026-08-13 05:04:10",""
"PROD-06","PROD-06","Canopy Tent 6x6 ft with 4-Side Branded Flex","Event Displays","6306","6500","3800","Set","18","Canopy Tent 6x6 ft Frame & Flex","VEN-02","NO","Active","2026-08-13 05:04:10",""
"PROD-02","PROD-02","Eco-Solvent Glossy Vinyl Printing","Digital Vinyl","9989","45","22","Sq.Ft","18","Eco-Solvent Glossy Vinyl","","NO","Active","2026-08-13 05:04:10",""
"PRD-1786602333569","PRD-1786602333569","NOTICE","Digital Printing","9989","25","12","Sq.Ft","18","Standard Substrate","","NO","Active","2026-08-13 06:25:33",""
"PRD-1786602343620","PRD-1786602343620","NOTICE 2","Digital Printing","9989","25","12","Sq.Ft","18","Standard Substrate","","NO","Active","2026-08-13 06:25:43",""
"PROD-08","PROD-08","One-Way Vision Glass Vinyl Film","Digital Vinyl","9989","65","32","Sq.Ft","18","One Way Perforated Window Film","","NO","Active","2026-08-13 05:04:10",""
"PROD-1789726060829","PROD-1789726060829","PVC STCIKER A","Digital Printing","9989","60","20","Pcs","18","Standard Substrate","","NO","Active","2026-09-18 10:07:40",""
"PRD-1786597597059","PRD-1786597597059","Persistent Test Vinyl Banner","Printing","9989","45","0","Sq.Ft","18","","","NO","Active","2026-08-13 05:06:37",""
"PROD-04","PROD-04","Rollup Standee (Aluminum Frame 2x5 ft)","Display Hardware","4911","1400","750","Pcs","18","Standee Rollup Aluminum 2x5ft","","NO","Active","2026-08-13 05:04:10",""
"PRD-1787030428819","PRD-1787030428819","STICKER","Digital Printing","9989","30","12","Pcs","18","Standard Substrate","","NO","Active","2026-08-18 05:20:28",""
"PRD-1787030440709","PRD-1787030440709","STICKER 2","Digital Printing","9989","30","12","Pcs","18","Standard Substrate","","NO","Active","2026-08-18 05:20:40",""
"PRD-1787030442820","PRD-1787030442820","STICKER 2","Digital Printing","9989","30","12","Pcs","18","Standard Substrate","","NO","Active","2026-08-18 05:20:42",""
"PROD-07","PROD-07","Stainless Steel Titanium Gold 3D Metal Letters","Architectural Signage","8310","1200","650","Sq.Ft","18","SS 304 Sheet 1.2mm Titanium Gold","VEN-03","NO","Active","2026-08-13 05:04:10",""
"PROD-01","PROD-01","Star Flex Banner Printing (240gsm Frontlit)","Flex & Banner","9989","15","7.5","Sq.Ft","18","Star Flex 240gsm (Frontlit)","","NO","Active","2026-08-13 05:04:10",""
"PROD-05","PROD-05","Visiting Cards 350gsm Matte Lamination (Box of 100)","Offset Print","4901","450","210","Box","18","350gsm Velvet Matte Visiting Card","VEN-04","NO","Active","2026-08-13 05:04:10",""
"PROD-CUSTOM","PROD-CUSTOM","★ Custom / Variable Rate Printing & Signage Job","Custom Job","9989","0","0","Sq.Ft","18","Custom Material Specification","","YES","Active","2026-08-13 05:04:10",""
